D1     D2    t  X1  X2
0.85616 0.23521 0.32633 0 0
0.80121 0.23324 0.32733 0 0
0.7447 0.23187 0.32833 0 0
0.68985 0.2326 0.32933 0 0
0.63953 0.23688 0.33033 0 0
0.59605 0.24593 0.33133 0 0
0.56099 0.26056 0.33233 0 0
0.53512 0.28102 0.33333 0 0
0.51843 0.30695 0.33433 0 0
0.51014 0.33737 0.33534 0 0
0.50887 0.37072 0.33634 0 0
0.51276 0.40508 0.33734 0 0
0.51968 0.43829 0.33834 0 0
0.52743 0.46821 0.33934 0 0
0.5339 0.4929 0.34034 0 0
0.53727 0.51088 0.34134 0 0
0.53612 0.52121 0.34234 0 0
0.5295 0.52365 0.34334 0 0
0.51697 0.51858 0.34434 0 0
0.4986 0.50701 0.34535 0 0
0.47492 0.49039 0.34635 0 0
0.44683 0.4705 0.34735 0 0
0.41552 0.44915 0.34835 0 0
0.38238 0.42804 0.34935 0 0
0.34886 0.40856 0.35035 0 0
0.31643 0.39162 0.35135 0 0
0.28645 0.37759 0.35235 0 0
0.26012 0.3663 0.35335 0 0
0.23844 0.35706 0.35435 0 0
0.22218 0.3488 0.35536 0 0
0.2118 0.34023 0.35636 0 0
0.2075 0.33004 0.35736 0 0
0.2092 0.31705 0.35836 0 0
0.21652 0.3004 0.35936 0 0
0.22882 0.2797 0.36036 0 0
0.24522 0.25506 0.36136 0 0
0.26465 0.22717 0.36236 0 0
0.28589 0.19716 0.36336 0 0
0.30765 0.16659 0.36436 0 0
0.32862 0.13725 0.36537 0 0
0.34759 0.111 0.36637 0 0
0.36348 0.089568 0.36737 0 0
0.37545 0.074414 0.36837 0 0
0.38291 0.06656 0.36937 0 0
0.3856 0.066494 0.37037 0 0
0.38356 0.074127 0.37137 0 0
0.37713 0.088788 0.37237 0 0
0.3669 0.10929 0.37337 0 0
0.35361 0.13404 0.37437 0 0
0.33813 0.16117 0.37538 0 0
0.3213 0.18871 0.37638 0 0
0.30392 0.21475 0.37738 0 0
0.28665 0.23762 0.37838 0 0
0.26998 0.25602 0.37938 0 0
0.25426 0.26913 0.38038 0 0
0.23967 0.27666 0.38138 0 0
0.22633 0.27889 0.38238 0 0
0.21432 0.27663 0.38338 0 0
0.20381 0.27109 0.38438 0 0
0.1951 0.26384 0.38539 0 0
0.18866 0.2566 0.38639 0 0
0.18519 0.25111 0.38739 0 0
0.18555 0.24894 0.38839 0 0
0.19072 0.25133 0.38939 0 0
0.20172 0.25911 0.39039 0 0
0.21941 0.27255 0.39139 0 0
0.24444 0.29138 0.39239 0 0
0.27701 0.31475 0.39339 0 0
0.31683 0.34133 0.39439 0 0
0.36299 0.36941 0.3954 0 0
0.41397 0.39705 0.3964 0 0
0.46768 0.42228 0.3974 0 0
0.52156 0.44324 0.3984 0 0
0.57276 0.45838 0.3994 0 0
0.61834 0.46659 0.4004 0 0
0.65553 0.46732 0.4014 0 0
0.68199 0.46061 0.4024 0 0
0.69601 0.44708 0.4034 0 0
0.69666 0.42786 0.4044 0 0
0.68397 0.40446 0.40541 0 0
0.65888 0.37865 0.40641 0 0
0.62324 0.35222 0.40741 0 0
0.57965 0.32686 0.40841 0 0
0.53123 0.30396 0.40941 0 0
0.48143 0.28452 0.41041 0 0
0.43366 0.26907 0.41141 0 0
0.39112 0.25767 0.41241 0 0
0.35646 0.24994 0.41341 0 0
0.33166 0.24519 0.41441 0 0
0.31785 0.24255 0.41542 0 0
0.31529 0.2411 0.41642 0 0
0.32339 0.24005 0.41742 0 0
0.34081 0.23886 0.41842 0 0
0.36561 0.23733 0.41942 0 0
0.39545 0.23562 0.42042 0 0
0.4278 0.23421 0.42142 0 0
0.46013 0.23385 0.42242 0 0
0.49011 0.23539 0.42342 0 0
0.51573 0.23964 0.42442 0 0
0.53545 0.24722 0.42543 0 0
0.54822 0.2584 0.42643 0 0
0.55347 0.273 0.42743 0 0
0.55113 0.29038 0.42843 0 0
0.54154 0.30942 0.42943 0 0
0.52536 0.32864 0.43043 0 0
0.50353 0.34634 0.43143 0 0
0.47713 0.36081 0.43243 0 0
0.44736 0.37054 0.43343 0 0
0.41546 0.37441 0.43443 0 0
0.38263 0.37185 0.43544 0 0
0.35002 0.363 0.43644 0 0
0.31871 0.34864 0.43744 0 0
0.28962 0.33024 0.43844 0 0
0.26354 0.30974 0.43944 0 0
0.24107 0.28938 0.44044 0 0
0.2226 0.27146 0.44144 0 0
0.20826 0.25805 0.44244 0 0
0.19796 0.25075 0.44344 0 0
0.19131 0.25051 0.44444 0 0
0.1877 0.25746 0.44545 0 0
0.18632 0.27091 0.44645 0 0
0.18622 0.28941 0.44745 0 0
0.18638 0.31087 0.44845 0 0
0.18586 0.33283 0.44945 0 0
0.18384 0.35272 0.45045 0 0
0.17976 0.36813 0.45145 0 0
0.1734 0.37712 0.45245 0 0
0.16493 0.37841 0.45345 0 0
0.15493 0.37157 0.45445 0 0
